epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,205.384,1.20164,0.98334,0.95211,0.77606,0.79738,0.84942,0.43932,1.46273,1.06617,0.99168,0.000490652,0.000490652,0.000490652
73,208.23,1.19884,0.98126,0.96773,0.75839,0.77779,0.81864,0.46331,1.33333,1.03834,0.96437,0.000483478,0.000483478,0.000483478
74,211.049,1.20515,1.01675,0.94874,0.76863,0.81416,0.84901,0.49401,1.25043,1.05167,0.95564,0.000476304,0.000476304,0.000476304
75,213.863,1.17433,1.00489,0.96598,0.80214,0.86726,0.85956,0.48014,1.33615,1.02853,0.96524,0.00046913,0.00046913,0.00046913
76,216.684,1.21558,1.03099,0.97646,0.7937,0.83186,0.85326,0.45999,1.39154,1.0543,0.96964,0.000461957,0.000461957,0.000461957
77,219.49,1.20306,1.01941,0.95549,0.67856,0.85936,0.80177,0.39459,1.4266,1.15014,0.97737,0.000454783,0.000454783,0.000454783
78,222.3,1.15555,0.97788,0.94371,0.69028,0.76991,0.79567,0.42381,1.33267,1.08208,0.96698,0.000447609,0.000447609,0.000447609
79,225.103,1.20761,1.01807,0.95285,0.70688,0.76991,0.78233,0.43241,1.4123,1.10992,0.97095,0.000440435,0.000440435,0.000440435
80,227.904,1.19537,0.98727,0.97253,0.74738,0.79646,0.82202,0.43782,1.40868,1.07988,0.97791,0.000433261,0.000433261,0.000433261
81,230.749,1.19754,1.01102,0.98355,0.73445,0.84956,0.83688,0.47003,1.30939,1.02044,0.96511,0.000426087,0.000426087,0.000426087
82,233.563,1.17674,0.96744,0.95416,0.81672,0.82816,0.90076,0.52516,1.26124,0.95861,0.9616,0.000418913,0.000418913,0.000418913
83,236.411,1.1924,0.99851,0.95492,0.83671,0.70796,0.84506,0.49942,1.31923,0.99287,0.96568,0.000411739,0.000411739,0.000411739
84,239.248,1.19,0.97493,0.92138,0.77164,0.76106,0.82501,0.46295,1.37505,1.03335,0.97164,0.000404565,0.000404565,0.000404565
85,242.066,1.17626,0.97357,0.95223,0.80868,0.78553,0.84682,0.49042,1.36686,0.9935,0.9573,0.000397391,0.000397391,0.000397391
86,244.873,1.21063,1.01525,0.96049,0.72084,0.75221,0.78971,0.42228,1.42224,1.1121,0.97118,0.000390217,0.000390217,0.000390217
87,247.697,1.22065,0.98709,0.92742,0.83707,0.76106,0.83864,0.49679,1.31222,1.05597,0.96761,0.000383043,0.000383043,0.000383043
88,250.52,1.20474,0.99977,0.93661,0.8345,0.76991,0.85652,0.50515,1.26938,1.04898,0.96406,0.00037587,0.00037587,0.00037587
89,253.325,1.16573,0.96053,0.94562,0.81847,0.79799,0.86514,0.46642,1.40078,1.04255,0.97983,0.000368696,0.000368696,0.000368696
90,256.145,1.14897,0.95755,0.94396,0.81045,0.7946,0.88126,0.53429,1.21398,0.98758,0.94843,0.000361522,0.000361522,0.000361522
91,258.974,1.20347,0.9805,0.96945,0.76048,0.79646,0.84544,0.48968,1.25892,0.99774,0.95006,0.000354348,0.000354348,0.000354348
92,261.779,1.15107,0.93394,0.96215,0.80072,0.81787,0.88034,0.50538,1.26101,0.95308,0.93559,0.000347174,0.000347174,0.000347174
93,264.623,1.14591,0.958,0.94681,0.82079,0.84956,0.85955,0.49648,1.27251,0.95994,0.94527,0.00034,0.00034,0.00034
94,267.399,1.13626,0.94372,0.9204,0.81969,0.87611,0.8809,0.51278,1.31495,0.9544,0.95852,0.000332826,0.000332826,0.000332826
95,270.196,1.11583,0.9326,0.93845,0.83446,0.84071,0.87387,0.52787,1.26944,0.94988,0.95327,0.000325652,0.000325652,0.000325652
96,273.044,1.16646,0.91272,0.94719,0.79708,0.76475,0.83481,0.44128,1.37844,1.06428,0.96453,0.000318478,0.000318478,0.000318478
97,275.878,1.12538,0.96907,0.9517,0.81095,0.75221,0.84903,0.47846,1.2943,1.03461,0.95142,0.000311304,0.000311304,0.000311304
98,278.678,1.14,0.93988,0.93192,0.82836,0.84071,0.88835,0.50069,1.30499,1.00037,0.95699,0.00030413,0.00030413,0.00030413
99,281.472,1.15789,0.94183,0.97175,0.84377,0.82301,0.88112,0.5198,1.30747,0.98128,0.95547,0.000296957,0.000296957,0.000296957
100,284.285,1.11446,0.90456,0.93078,0.82616,0.83186,0.87209,0.5116,1.2376,0.97751,0.9502,0.000289783,0.000289783,0.000289783
101,287.082,1.13635,0.94909,0.91372,0.85189,0.81438,0.87628,0.51555,1.20325,0.99794,0.95716,0.000282609,0.000282609,0.000282609
102,289.917,1.09446,0.91943,0.92404,0.79979,0.80531,0.86888,0.45922,1.37886,1.04255,0.96176,0.000275435,0.000275435,0.000275435
103,292.762,1.1694,0.9147,0.93439,0.8308,0.78217,0.87077,0.48493,1.31345,0.97326,0.93897,0.000268261,0.000268261,0.000268261
104,295.561,1.14026,0.91407,0.94693,0.78495,0.80757,0.86913,0.49999,1.31081,0.94261,0.95215,0.000261087,0.000261087,0.000261087
